sequence,response_time_ms,cpu_percent,memory_percent,phase,actual_anomaly
171,91.57,33.99,82.91,recovery,0
172,81.97,30.61,83.36,recovery,0
173,83.42,27.62,82.49,recovery,0
174,79.79,23.75,82.5,recovery,0
175,70.01,28.68,81.11,recovery,0
176,61.8,20.29,81.42,recovery,0
177,64.27,20.67,81.55,recovery,0
178,54.07,21.39,79.72,recovery,0
179,52.71,19.94,79.66,recovery,0
180,49.04,21.02,79.54,recovery,0
