response_time_ms,cpu_percent,memory_percent,phase,actual_anomaly,predicted_anomaly,anomaly_score
159.36,86.39,79.83,cpu_stress,1,1,0.16007341439835254
146.99,22.08,95.11,memory_pressure,1,1,0.1741136632614042
216.88,92.29,78.68,cpu_stress,1,1,0.167284420901332
47.65,17.97,80.46,recovery,0,0,-0.12461621724005639
56.57,32.22,79.03,recovery,0,0,-0.01084847356439167
155.58,28.69,97.14,memory_pressure,1,1,0.171388803123395
165.19,19.57,96.96,memory_pressure,1,1,0.17564897768682186
146.96,25.28,94.71,memory_pressure,1,1,0.1711448511375777
48.32,18.84,77.06,normal,0,0,-0.09159012571439307
185.8,80.76,76.19,cpu_stress,1,1,0.1726040812464973
136.03,82.08,74.92,cpu_stress,1,1,0.18027848172737282
126.77,24.6,94.18,memory_pressure,1,1,0.17151709399701176
192.98,95.66,78.78,cpu_stress,1,1,0.167284420901332
398.45,25.65,78.68,latency_degradation,1,1,0.08427440300257272
56.42,15.65,82.76,recovery,0,0,-0.05017260451080802
165.02,77.38,77.95,cpu_stress,1,1,0.16983391037465367
44.75,6.94,77.06,normal,0,0,-0.07854773892221167
43.32,12.35,79.03,normal,0,0,-0.15955298732258189
43.62,8.7,79.84,normal,0,0,-0.11720599293862427
51.17,33.79,80.21,recovery,0,0,-0.041593071790573755
194.88,83.91,83.18,cpu_stress,1,1,0.16003305375565813
565.49,24.23,74.85,latency_degradation,1,1,0.12156874613871238
192.9,23.51,96.86,memory_pressure,1,1,0.1714764739966882
54.6,29.72,79.75,recovery,0,0,-0.060923739841841296
599.93,23.07,75.32,latency_degradation,1,1,0.1116770042590175
484.7,25.52,73.7,latency_degradation,1,1,0.13889116773132304
43.54,10.58,78.31,normal,0,0,-0.1496314207005957
180.75,21.94,95.6,memory_pressure,1,1,0.17378229775678222
40.06,21.33,76.58,normal,0,0,-0.08264013358010303
422.3,16.32,82.34,latency_degradation,1,1,0.09579463542799616
166.23,43.47,97.68,memory_pressure,1,1,0.21790985392465234
42.84,5.2,75.34,normal,0,0,-0.026039811330693552
43.62,24.43,78.35,normal,0,0,-0.09020741913740904
38.77,12.49,79.83,normal,0,0,-0.13271796522336748
155.88,91.43,81.12,cpu_stress,1,1,0.15314348075458273
49.9,33.32,84.84,recovery,0,0,-0.01759761822312067
75.48,24.33,84.3,recovery,0,1,0.08971133984681723
165.41,24.7,95.64,memory_pressure,1,1,0.17151709399701176
42.93,16.47,76.57,normal,0,0,-0.1397118727870898
34.19,14.24,79.18,normal,0,0,-0.033303228330150536
595.59,15.44,77.02,latency_degradation,1,1,0.09252403108698692
423.23,14.88,79.05,latency_degradation,1,1,0.09218861249524268
36.39,17.93,82.38,normal,0,0,-0.03448316553067965
36.28,12.8,78.26,normal,0,0,-0.0852577662878739
524.5,9.49,81.06,latency_degradation,1,1,0.1016219163887565
183.01,90.57,80.42,cpu_stress,1,1,0.15644962886912395
42.37,5.06,77.56,normal,0,0,-0.05506725796025613
64.51,42.69,80.94,recovery,0,1,0.08266085300869164
204.29,91.23,81.74,cpu_stress,1,1,0.1580247613225504
545.42,13.39,80.74,latency_degradation,1,1,0.09322483699722606
43.99,14.31,79.3,normal,0,0,-0.1535094232423619
51.52,22.84,82.44,recovery,0,0,-0.10537515127008923
57.14,31.23,82.16,recovery,0,0,-0.0721075167153819
159.28,85.2,80.49,cpu_stress,1,1,0.15606443534891934
53.02,24.48,83.24,recovery,0,0,-0.09682390740366931
49.37,24.76,85.54,recovery,0,0,-0.0552439639945293
141.85,21.54,97.13,memory_pressure,1,1,0.1742908720966807
43.43,11.54,79.8,normal,0,0,-0.14982737748236324
43.03,14.63,74.16,normal,0,0,-0.061445217696942
43.93,13.88,79.43,normal,0,0,-0.1548700467660194
158.75,30.73,94.52,memory_pressure,1,1,0.17286797305192847
375.08,26.48,79.42,latency_degradation,1,1,0.07429969205291365
453.57,11.78,75.44,latency_degradation,1,1,0.10859483946936388
501.11,19.74,77.92,latency_degradation,1,1,0.08876062150950126
37.77,19.11,75.56,normal,0,0,-0.05234784800474057
59.73,32.76,83.64,recovery,0,0,-0.03153358269186879
50.87,25.67,81.08,recovery,0,0,-0.1056801084532637
43.43,22.39,76.96,normal,0,0,-0.09237836934071247
498.55,18.99,78.71,latency_degradation,1,1,0.08486519885507982
42.97,5.43,74.55,normal,0,1,0.0019439025482875794
185.6,88.06,79.2,cpu_stress,1,1,0.16824986577595358
43.18,16.31,78.01,normal,0,0,-0.1547656414900787
516.8,12.37,83.89,latency_degradation,1,1,0.13084414703163705
147.07,18.51,98.53,memory_pressure,1,1,0.18039142895673743
492.45,18.28,81.19,latency_degradation,1,1,0.08575513446660366
50.43,19.17,82.94,recovery,0,0,-0.10152274960182334
188.31,84.26,82.1,cpu_stress,1,1,0.15747743803980996
43.89,14.64,76.31,normal,0,0,-0.13128853488105874
195.57,82.66,78.72,cpu_stress,1,1,0.167284420901332
161.02,88.75,79.68,cpu_stress,1,1,0.16165436858806315
53.58,19.41,79.24,recovery,0,0,-0.08380969900209723
39.82,15.55,75.7,normal,0,0,-0.1093682662976529
44.28,20.68,79.91,normal,0,0,-0.13336494962277634
57.17,16.06,79.84,recovery,0,0,-0.061811793237435075
42.86,8.77,78.35,normal,0,0,-0.13446306250177376
37.75,17.37,76.16,normal,0,0,-0.07666913445869178
47.01,31.89,81.57,recovery,0,0,-0.05121994654709633
149.39,21.55,95.59,memory_pressure,1,1,0.1742908720966807
45.16,10.45,80.81,normal,0,0,-0.1071394928162745
160.67,88.12,80.0,cpu_stress,1,1,0.15902143365834287
66.63,36.06,80.95,recovery,0,1,0.035311370152826815
486.14,21.48,82.7,latency_degradation,1,1,0.07953955217508946
136.04,36.79,96.05,memory_pressure,1,1,0.1967351429930807
39.42,16.81,81.08,normal,0,0,-0.09873364961515368
59.88,28.92,84.16,recovery,0,0,-0.049538265577340534
179.69,83.51,79.15,cpu_stress,1,1,0.167894912186057
45.46,9.0,77.33,normal,0,0,-0.1090431054693547
528.29,27.41,81.69,latency_degradation,1,1,0.06593014533118047
549.39,18.37,76.42,latency_degradation,1,1,0.09120071709137212
37.33,20.71,79.5,normal,0,0,-0.07711019274624664
518.47,9.45,76.3,latency_degradation,1,1,0.10560266950267372
49.15,24.77,85.59,recovery,0,0,-0.05221465627330729
59.97,14.01,80.55,recovery,0,0,-0.022372666053585344
140.42,22.33,96.57,memory_pressure,1,1,0.17393468776481802
41.54,13.49,75.04,normal,0,0,-0.0963376555792756
47.23,6.96,78.37,normal,0,0,-0.06724371142037583
48.34,8.81,82.27,normal,0,0,-0.037517968214370756
41.71,28.01,82.42,recovery,0,0,-0.044010485627118345
432.26,15.38,79.98,latency_degradation,1,1,0.08712797867296285
63.52,21.38,84.82,recovery,0,0,-6.904124811291101e-05
581.34,20.07,82.75,latency_degradation,1,1,0.08323856076911906
164.07,20.46,93.87,memory_pressure,1,1,0.17395126910044556
39.99,7.25,78.14,normal,0,0,-0.09370572700587476
567.59,16.66,76.79,latency_degradation,1,1,0.09032243113487892
181.85,96.14,76.24,cpu_stress,1,1,0.1714278692120944
160.37,35.06,96.49,memory_pressure,1,1,0.18969603929161238
465.58,15.27,78.93,latency_degradation,1,1,0.08909824827500601
63.43,18.35,87.26,recovery,0,1,0.10058527837768916
44.17,12.68,77.07,normal,0,0,-0.13679130404773615
180.53,91.41,78.38,cpu_stress,1,1,0.16855273145953809
44.63,10.13,79.57,normal,0,0,-0.13469831932048293
210.95,80.03,77.8,cpu_stress,1,1,0.17036787311620705
48.09,13.83,77.53,normal,0,0,-0.10592597913429302
225.79,93.9,78.06,cpu_stress,1,1,0.16947815923999043
174.95,86.91,81.2,cpu_stress,1,1,0.15331722022985816
36.72,17.61,78.59,normal,0,0,-0.08709332514613877
38.83,14.43,79.01,normal,0,0,-0.13910435854771558
507.75,18.55,80.45,latency_degradation,1,1,0.08174297398057984
40.63,10.99,77.68,normal,0,0,-0.12987162240106614
42.04,10.09,78.92,normal,0,0,-0.14349867575625874
49.46,17.37,75.62,normal,0,0,-0.05913356532109593
544.6,18.85,78.63,latency_degradation,1,1,0.08870046387129338
42.79,18.69,78.34,normal,0,0,-0.14546204382384137
40.99,8.76,81.26,normal,0,0,-0.07569484573736246
142.49,16.7,97.39,memory_pressure,1,1,0.1849898242310234
51.08,32.31,83.36,recovery,0,0,-0.06852036193047684
180.13,88.23,78.1,cpu_stress,1,1,0.16908572600771377
42.87,35.83,85.59,recovery,0,1,0.07148297438776907
453.3,18.98,77.04,latency_degradation,1,1,0.092840733156758
46.63,10.9,79.93,normal,0,0,-0.11955167072694411
43.0,16.73,76.64,normal,0,0,-0.14129023813824781
146.75,28.42,94.86,memory_pressure,1,1,0.1706759146296376
139.84,13.78,95.47,memory_pressure,1,1,0.18926039505575265
66.06,29.54,81.67,recovery,0,0,-0.02818221429223311
201.51,30.23,95.51,memory_pressure,1,1,0.17345720616160087
142.72,25.29,94.75,memory_pressure,1,1,0.1711448511375777
43.11,19.14,78.03,normal,0,0,-0.14593659519349328
43.04,18.91,75.53,normal,0,0,-0.11632313853919773
536.36,11.6,82.51,latency_degradation,1,1,0.1130378918981223
58.95,26.29,80.28,recovery,0,0,-0.06800725855780004
37.22,19.06,80.71,normal,0,0,-0.08120499726810276
157.44,19.27,93.59,memory_pressure,1,1,0.17658371656247407
51.64,23.03,79.31,recovery,0,0,-0.092111270653219
155.62,29.98,92.68,memory_pressure,1,1,0.17345720616160087
50.5,29.43,83.95,recovery,0,0,-0.08030376665902195
156.5,85.43,76.88,cpu_stress,1,1,0.17097587223869126
157.54,90.46,76.36,cpu_stress,1,1,0.17175813668705275
170.08,21.82,94.81,memory_pressure,1,1,0.17361215769965865
43.23,19.06,79.26,normal,0,0,-0.14877944938933196
41.76,0.0,75.95,normal,0,1,0.05340838232303091
484.42,10.48,78.51,latency_degradation,1,1,0.09051316312345803
190.04,91.45,78.2,cpu_stress,1,1,0.16908572600771377
56.17,33.45,80.37,recovery,0,0,-0.04318553070260661
40.08,14.07,75.79,normal,0,0,-0.11019625067365119
184.02,22.55,92.94,memory_pressure,1,1,0.1743537236884023
44.61,13.42,79.52,normal,0,0,-0.15196530112275047
188.1,87.35,79.19,cpu_stress,1,1,0.16824986577595358
53.51,21.92,84.89,recovery,0,0,-0.048732220372684876
211.94,85.04,80.09,cpu_stress,1,1,0.15884625800559093
