sequence,latency,cpu,memory,risk,severity,trend,likely_cause,actual_phase,actual_anomaly
156,155.85,62.88,88.88,62.97,WARNING,RECOVERING,Latency degradation,recovery,0
157,149.04,57.51,87.71,62.67,WARNING,RECOVERING,Latency degradation,recovery,0
158,131.52,52.9,88.68,62.92,WARNING,RECOVERING,Latency degradation,recovery,0
159,155.99,54.91,87.7,62.67,WARNING,RECOVERING,Latency degradation,recovery,0
160,141.83,63.1,87.79,62.69,WARNING,RECOVERING,Latency degradation,recovery,0
161,134.31,49.2,85.27,62.04,WARNING,RECOVERING,Latency degradation,recovery,0
162,132.02,48.01,85.07,61.99,WARNING,RECOVERING,Latency degradation,recovery,0
163,122.13,45.24,87.21,62.54,WARNING,RECOVERING,Latency degradation,recovery,0
164,127.09,46.67,86.7,62.41,WARNING,RECOVERING,Latency degradation,recovery,0
165,117.69,42.31,86.39,62.36,WARNING,RECOVERING,Latency degradation,recovery,0
166,115.8,39.99,84.68,61.89,WARNING,RECOVERING,Latency degradation,recovery,0
167,103.54,37.16,85.22,62.03,WARNING,RECOVERING,Latency degradation,recovery,0
168,113.7,35.32,84.59,61.87,WARNING,RECOVERING,Latency degradation,recovery,0
169,96.08,36.26,83.32,61.54,WARNING,RECOVERING,Latency degradation,recovery,0
170,90.73,36.08,82.78,61.4,WARNING,RECOVERING,Latency degradation,recovery,0
171,91.57,33.99,82.91,61.43,WARNING,RECOVERING,Latency degradation,recovery,0
172,81.97,30.61,83.36,58.89,WARNING,RECOVERING,Latency degradation,recovery,0
173,83.42,27.62,82.49,59.76,WARNING,RECOVERING,Latency degradation,recovery,0
174,79.79,23.75,82.5,50.77,WARNING,RECOVERING,Latency degradation,recovery,0
175,70.01,28.68,81.11,47.02,EARLY WARNING,RECOVERING,Latency degradation,recovery,0
176,61.8,20.29,81.42,28.54,EARLY WARNING,RECOVERING,Latency degradation,recovery,0
177,64.27,20.67,81.55,31.45,EARLY WARNING,RECOVERING,Latency degradation,recovery,0
178,54.07,21.39,79.72,22.39,NORMAL,RECOVERING,Latency degradation,recovery,0
179,52.71,19.94,79.66,19.0,NORMAL,RECOVERING,Latency degradation,recovery,0
180,49.04,21.02,79.54,17.09,NORMAL,STABLE,CPU pressure,recovery,0
