response_time_ms,cpu_percent,memory_percent,phase,actual_anomaly
174.95,86.91,81.2,cpu_stress,1
36.72,17.61,78.59,normal,0
38.83,14.43,79.01,normal,0
507.75,18.55,80.45,latency_degradation,1
40.63,10.99,77.68,normal,0
42.04,10.09,78.92,normal,0
49.46,17.37,75.62,normal,0
544.6,18.85,78.63,latency_degradation,1
42.79,18.69,78.34,normal,0
40.99,8.76,81.26,normal,0
142.49,16.7,97.39,memory_pressure,1
51.08,32.31,83.36,recovery,0
180.13,88.23,78.1,cpu_stress,1
42.87,35.83,85.59,recovery,0
453.3,18.98,77.04,latency_degradation,1
46.63,10.9,79.93,normal,0
43.0,16.73,76.64,normal,0
146.75,28.42,94.86,memory_pressure,1
139.84,13.78,95.47,memory_pressure,1
66.06,29.54,81.67,recovery,0
201.51,30.23,95.51,memory_pressure,1
142.72,25.29,94.75,memory_pressure,1
43.11,19.14,78.03,normal,0
43.04,18.91,75.53,normal,0
536.36,11.6,82.51,latency_degradation,1
58.95,26.29,80.28,recovery,0
37.22,19.06,80.71,normal,0
157.44,19.27,93.59,memory_pressure,1
51.64,23.03,79.31,recovery,0
155.62,29.98,92.68,memory_pressure,1
50.5,29.43,83.95,recovery,0
156.5,85.43,76.88,cpu_stress,1
157.54,90.46,76.36,cpu_stress,1
170.08,21.82,94.81,memory_pressure,1
43.23,19.06,79.26,normal,0
41.76,0.0,75.95,normal,0
484.42,10.48,78.51,latency_degradation,1
190.04,91.45,78.2,cpu_stress,1
56.17,33.45,80.37,recovery,0
40.08,14.07,75.79,normal,0
184.02,22.55,92.94,memory_pressure,1
44.61,13.42,79.52,normal,0
188.1,87.35,79.19,cpu_stress,1
53.51,21.92,84.89,recovery,0
211.94,85.04,80.09,cpu_stress,1
